id,job_title,company,location,experience_min,experience_max,salary_min,salary_max,skills,job_description,employment_type,industry,functional_area,role,posted_date
1,Opening For Adobe Analytics Specialist,,Pune,0,1,"7,00,000","17,00,000 PA.",adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",Programming & Design,2019-08-05 03:59:27 +0000
2,JUNIOR BIG DATA ANALYST IN,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,,,"Recruitment, Staffing","ITES , BPO , KPO , LPO , Customer Service , Operations",Operations,2019-07-07 06:48:29 +0000
3,Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,,Gurgaon,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,,,"IT-Software, Software Services",Analytics & Business Intelligence,Analytics & BI,2019-08-04 14:20:45 +0000
4,Senior Data Analyst,,Mohali,0,1,"2,75,000","7,00,000 PA.",Reporting| Data Analysis| Business Analytics| Data Analytics| kpo,,,"KPO, Research, Analytics",Analytics & Business Intelligence,Analytics & BI,2019-07-04 06:12:30 +0000
5,Senior Business Analyst - Sql/python,,Delhi,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,data analysis| vba| macros| advanced excel| oracle sql| google analytics| business analysis| python| data mining| business analyst,,,"IT-Software, Software Services","IT Software - DBA , Datawarehousing",System Design/Implementation/ERP/CRM,2019-07-05 15:49:33 +0000
6,Sr. Business Analyst,,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL,,,"Recruitment, Staffing","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-06 03:03:20 +0000
7,Business Analyst - Structured Finance,,Gurgaon,0,1,"3,50,000","8,50,000 PA.",electronic trading| structured finance| dcf| equity research| bloomberg| investment banking| business analysis| bonds| valuation| advanced excel| hedge fund| financial modelling| structured products| fixed income,,,"Banking, Financial Services, Broking","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-08-05 10:37:40 +0000
8,Murex Business Analyst,,Mumbai,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Analyst| C++| XML| JSP| PLSQL| Murex| Financial services| Comp| ASP.Net| .Net,,,"Recruitment, Staffing","IT Software - Application Programming , Maintenance",Programming & Design,2019-07-06 22:17:56 +0000
9,Manager - Analytics - Retail/ Ecommerce/ Telecom/ BFSI Domain,,Bengaluru,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Machine Learning| Analytics| Data Visualization| SQL| Statistics| Statistical Modeling| R| Solution Design| E| Sales| Proposals| Strategic Planning| Project Management,,,"Banking, Financial Services, Broking",Analytics & Business Intelligence,Analytics & BI,2019-07-05 21:53:50 +0000
10,Business Analyst (CRM / Salesforce.com / Zoho),,Hyderabad,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Business Analyst| Business analysis| Salesforce.com| Microsoft Dynamics| Real estate| CRM,,,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",System Design/Implementation/ERP/CRM,2019-07-05 19:54:45 +0000
