uniq_id,posted_date,job_title,salary_raw,experience_raw,skills,role,location,functional_area,industry,company,job_description,employment_type,experience_min,experience_max,salary_min,salary_max
c9628ea8d9cfd2ca72e14d53783aca90,2019-08-05 03:59:27 +0000,Opening For Adobe Analytics Specialist," 7,00,000 - 17,00,000 PA. ",5 - 7 yrs,adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,"7,00,000","17,00,000 PA."
9cf381467b3b630517c17d431e6dcc7c,2019-07-07 06:48:29 +0000,JUNIOR BIG DATA ANALYST IN, Not Disclosed by Recruiter ,1 - 3 yrs,,Operations,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
bca10c9e2a52d1f83606eb6c50360c07,2019-08-04 14:20:45 +0000,Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain, Not Disclosed by Recruiter ,4 - 9 yrs,Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
156057fca635058df3288328e7ba7683,2019-07-04 06:12:30 +0000,Senior Data Analyst," 2,75,000 - 7,00,000 PA. ",2 - 7 yrs,Reporting| Data Analysis| Business Analytics| Data Analytics| kpo,Analytics & BI,Mohali,Analytics & Business Intelligence,"KPO, Research, Analytics",,,,0,1,"2,75,000","7,00,000 PA."
1804743ea2079ecfa1156046d81798d5,2019-07-05 15:49:33 +0000,Senior Business Analyst - Sql/python, Not Disclosed by Recruiter ,3 - 5 yrs,data analysis| vba| macros| advanced excel| oracle sql| google analytics| business analysis| python| data mining| business analyst,System Design/Implementation/ERP/CRM,Delhi,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
2355c2ff475daad1ad7673767d76520d,2019-08-06 03:03:20 +0000,Sr. Business Analyst, Not Disclosed by Recruiter ,2 - 5 yrs,Java| Tomcat| Eclipse| OOPS| HTML| UNIX| SQL| DB2| Weblogic| XML| Flex| Oracle| PL,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
dfe71f8ca8a6daeaf6ebbc6b16974601,2019-08-05 10:37:40 +0000,Business Analyst - Structured Finance," 3,50,000 - 8,50,000 PA. ",1 - 4 yrs,electronic trading| structured finance| dcf| equity research| bloomberg| investment banking| business analysis| bonds| valuation| advanced excel| hedge fund| financial modelling| structured products| fixed income,System Design/Implementation/ERP/CRM,Gurgaon,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",,,,0,1,"3,50,000","8,50,000 PA."
145dcb26736103f1cf75e0d9c871df41,2019-07-06 22:17:56 +0000,Murex Business Analyst, Not Disclosed by Recruiter ,2 - 7 yrs,Business Analyst| C++| XML| JSP| PLSQL| Murex| Financial services| Comp| ASP.Net| .Net,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
620b930d173b6ff918eb5dd3b2d4de2c,2019-07-05 21:53:50 +0000,Manager - Analytics - Retail/ Ecommerce/ Telecom/ BFSI Domain, Not Disclosed by Recruiter ,6 - 8 yrs,Machine Learning| Analytics| Data Visualization| SQL| Statistics| Statistical Modeling| R| Solution Design| E| Sales| Proposals| Strategic Planning| Project Management,Analytics & BI,Bengaluru,Analytics & Business Intelligence,"Banking, Financial Services, Broking",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
1b0d5f255853b74d3c199dec4f4c274d,2019-07-05 19:54:45 +0000,Business Analyst (CRM / Salesforce.com / Zoho), Not Disclosed by Recruiter ,2 - 7 yrs,Business Analyst| Business analysis| Salesforce.com| Microsoft Dynamics| Real estate| CRM,System Design/Implementation/ERP/CRM,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
df911a013e966f2402882ca6a9fb35f9,2019-07-06 07:56:41 +0000,Business Analyst cum Project Co-ordinator, Not Disclosed by Recruiter ,4 - 7 yrs,Business analysis| Project Coordinator| Project planning| Management| Business Analyst| Conceptualization| Business Executive,System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
154e62140fcbdb1715302d8e299fd038,2019-07-06 17:54:15 +0000,Senior Manager - Pricing Analytics, Not Disclosed by Recruiter ,8 - 12 yrs,Analytical| Consulting| Product management| SAS| Analytics| Computer science| Operations research| Econometrics| Field operations| Business analytics,Other,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
ae7737fb437765e777a5744015d36135,2019-07-05 14:10:45 +0000,Business Analyst, Not Disclosed by Recruiter ,2 - 6 yrs,Analytics| SQL| CRM| Data modeling| Cognos| Python| data cleansing| Performance optimization| Data analysis| Excel,System Design/Implementation/ERP/CRM,Gurgaon,IT Software - Other,"Education, Teaching, Training",,,,0,1,Not Disclosed by Recruiter,Not Disclosed by Recruiter
